Age,Date,Draft Year,Height,Player,Position,Season,Season short,Seasons in league,Team,Real_value,Conference,Weight
32,"Oct 31, 2016",2003,203cm,LeBron James,F,2016-2017,2017,13,Cleveland Cavaliers,0.5,East,113kg
28,"Oct 31, 2016",2008,191cm,Russell Westbrook,G,2016-2017,2017,8,Oklahoma City Thunder,0.5,West,91kg
25,"Oct 30, 2017",2013,193cm,Victor Oladipo,G,2017-2018,2018,4,Indiana Pacers,0.5,East,95kg
27,"Oct 30, 2017",2010,211cm,DeMarcus Cousins,C,2017-2018,2018,7,New Orleans Pelicans,0.5,West,122kg
23,"Oct 23, 2017",2013,211cm,Giannis Antetokounmpo,F,2017-2018,2018,4,Milwaukee Bucks,0.5,East,101kg
28,"Oct 23, 2017",2009,196cm,James Harden,SG,2017-2018,2018,8,Houston Rockets,0.5,West,100kg
22,"Nov 9, 2015",2012,6-11,Andre Drummond,C,2015-2016,2016,3,Detroit Pistons,0.5,East,279
26,"Nov 9, 2015",2009,6-5,James Harden,SG,2015-2016,2016,6,Houston Rockets,0.5,West,220
28,"Nov 9, 2009",2001,6-7,Joe Johnson,SG,2009-2010,2010,8,Atlanta Hawks,0.5,East,240
27,"Nov 9, 2009",2003,7-0,Chris Kaman,C,2009-2010,2010,6,Los Angeles Clippers,0.5,West,265
27,"Nov 9, 2009",2003,7-0,Chris Kaman,C,2009-2010,2010,6,Los Angeles Clippers,0.5,West,265
24,"Nov 9, 2003",1999,6-7,Metta World Peace,SF,2003-2004,2004,4,Indiana Pacers,0.5,East,260
23,"Nov 9, 2003",1999,6-9,Andrei Kirilenko,PF,2003-2004,2004,2,Utah Jazz,0.5,West,235
31,"Nov 9, 1997",1991,7-2,Dikembe Mutombo,C,1997-1998,1998,6,Atlanta Hawks,1,NA,260
24,"Nov 9, 1986",1984,6-6,Michael Jordan,SG,1986-1987,1987,2,Chicago Bulls,1,NA,215
25,"Nov 8, 2010",2004,6-11,Dwight Howard,C,2010-2011,2011,6,Orlando Magic,0.5,East,265
25,"Nov 8, 2010",2005,6-0,Chris Paul,PG,2010-2011,2011,5,New Orleans Hornets,0.5,West,175
25,"Nov 8, 2010",2005,6-0,Chris Paul,PG,2010-2011,2011,5,New Orleans Hornets,0.5,West,175
32,"Nov 7, 2016",2003,203cm,LeBron James,F,2016-2017,2017,13,Cleveland Cavaliers,0.5,East,113kg
30,"Nov 7, 2016",2008,191cm,George Hill,G,2016-2017,2017,8,Utah Jazz,0.5,West,85kg
22,"Nov 7, 2005",2003,6-0,T.J. Ford,PG,2005-2006,2006,2,Milwaukee Bucks,0.5,East,165
